TeamId,TeamName,eFG_Pct,RankeFG_Pct,TO_Pct,RankTO_Pct,OR_Pct,RankOR_Pct,FT_Rate,RankFT_Rate
836,Western Michigan,51.7222,61,19.1837,51,40.1389,8,39.921,91
762,Southeast Missouri St.,51.6245,62,18.4452,29,31.6838,249,33.4296,255
753,San Diego,51.6223,63,25.6936,315,28.564,304,35.3666,213
636,Kansas,51.5963,64,20.7276,124,34.6588,127,39.4481,102
543,Centenary,51.5507,65,22.6206,234,33.0803,194,42.2844,53
682,Morehead St.,51.5227,66,19.6133,72,32.3547,225,44.051,28
730,Pepperdine,51.5071,67,16.8999,7,33.8091,161,36.8059,177
598,Furman,51.4976,68,21.5503,176,32.0744,240,35.6025,205
840,Washington,51.4873,69,19.4196,61,34.0074,152,41.7523,57
531,Brown,51.4855,70,21.0263,144,26.1496,319,32.2755,273
639,Kent St.,51.4581,71,19.5814,67,33.4321,177,32.3208,271
544,Central Connecticut,51.4539,72,22.001,204,38.5631,22,34.6397,226
574,Detroit,51.4469,73,21.4964,170,37.3118,48,32.283,272
742,Rice,51.4439,74,22.2651,215,33.5728,169,41.7893,56
631,IUPUI,51.4319,75,18.442,27,35.8865,83,43.8925,30
546,Charlotte,51.4127,76,20.641,117,38.3202,27,44.2105,26
504,Alabama,51.3714,77,18.9299,44,33.3796,179,40.6857,73
554,College of Charleston,51.3673,78,20.3751,104,30.3589,281,35.9229,197
628,Iowa,51.3654,79,22.0232,205,32.6646,207,47.5293,8
573,DePaul,51.2607,80,19.9186,90,37.7979,35,38.4527,134
599,George Washington,51.2125,81,21.7168,184,38.3805,23,38.6836,119
829,Villanova,51.1669,82,23.1993,258,37.3219,46,39.1482,109
731,Pittsburgh,51.1583,83,19.4179,60,40.6063,6,38.61,122
842,Weber St.,51.1103,84,20.8943,136,32.2044,235,46.262,12
533,Bucknell,51.0511,85,24.8424,308,33.2724,185,41.6667,58
764,Seton Hall,51.0252,86,18.9701,46,34.3012,148,34.6221,228
853,Xavier,51.0204,87,18.5359,32,34.4639,133,37.7551,154
562,Creighton,51.0144,88,20.3452,102,32.7157,206,39.856,93
708,North Carolina,50.9676,89,20.3464,103,39.7475,13,39.1736,107
586,East Tennessee St.,50.948,90,20.723,123,32.5771,213,36.5114,183
815,NC Greensboro,50.9142,91,23.1783,255,33.941,155,30.8323,288
529,Bowling Green,50.9012,92,23.4232,265,33.0467,196,43.5915,35
578,Duquesne,50.8416,93,21.2241,157,31.6641,250,37.5312,159
850,Wofford,50.8322,94,24.0163,291,29.5082,295,35.8189,198
715,Northwestern,50.8293,95,18.4171,26,25.0545,321,32.6883,268
792,Tennessee Tech,50.8235,96,20.2968,101,34.3423,142,28.9855,308
854,Yale,50.7959,97,22.5892,232,30.1616,284,31.9826,275
621,Idaho St.,50.6552,98,18.5274,31,23.5497,323,33.5914,252
558,Columbia,50.6466,99,26.093,319,31.0046,265,34.1954,238
807,UC Irvine,50.6192,100,25.0977,311,34.375,138,43.8854,31
843,West Virginia,50.5832,101,19.5154,64,29.1151,299,34.1928,239
569,Dayton,50.5724,102,21.2722,160,37.6884,40,41.0418,68
714,Northern Iowa,50.565,103,18.8477,42,27.1084,313,39.1086,110
676,Missouri,50.545,104,20.7929,128,38.8449,19,37.5215,160
776,St. Francis NY,50.486,105,21.1324,150,30.5253,277,30.6197,290
704,Niagara,50.4795,106,19.5948,69,38.9728,16,46.8833,10
509,American,50.4565,107,21.2213,156,33.4971,171,39.0749,113
681,Montana St.,50.4104,108,21.5397,174,27.2945,311,38.6567,120
571,Delaware St.,50.3491,109,23.7743,285,32.5652,215,47.4011,9
849,Wisconsin,50.326,110,16.0494,4,34.7591,120,40.5453,78
757,UC Santa Barbara,50.3221,111,22.6002,233,35.6289,88,40.3006,84
657,Maine,50.2414,112,21.9328,197,28.8451,301,40.3448,81
516,Arkansas St.,50.2404,113,22.5168,229,36.3033,73,40.1786,87
629,Iowa St.,50.2156,114,20.41,105,36.5767,66,35.6873,203
670,Michigan,50.1912,115,21.9642,199,35.1026,107,39.4866,101
677,Missouri Kansas City,50.1776,116,17.7724,13,30.9293,267,38.4843,131
786,Syracuse,50.141,117,18.1499,17,38.3694,24,36.6046,179
819,Texas Arlington,50.0372,118,23.5725,276,35.7444,86,49.628,3
526,Boise St.,49.9717,119,18.5196,30,33.3796,179,36.1786,188
624,Illinois St.,49.9642,120,22.9521,248,29.2071,298,35.9857,193
633,Jacksonville,49.9305,121,24.7549,306,35.9281,82,40.1252,88
557,Colorado St.,49.896,122,24.1718,296,31.9056,242,49.6189,4
830,Virginia,49.862,123,19.4971,63,31.774,247,40.5301,79
723,Old Dominion,49.8547,124,21.2407,158,35.2634,103,34.0116,242
568,Davidson,49.8279,125,24.307,299,34.4524,135,37.3021,166
765,Stephen F. Austin,49.793,126,19.8902,88,33.0301,197,33.1263,261
655,Louisiana St.,49.7646,127,21.9734,201,35.3551,100,45.5952,15
810,UCLA,49.759,128,23.1967,257,33.9899,154,35.7438,200
793,Texas,49.7312,129,17.053,9,41.9558,2,35.4839,208
795,Texas St.,49.6825,130,21.5253,173,34.3487,140,33.8095,248
796,Texas Tech,49.672,131,17.838,14,33.49,174,35.4692,209
787,Texas A&M Corpus Chris,49.6708,132,24.42,301,37.5,43,38.2716,139
541,Canisius,49.6319,133,21.0559,145,33.1538,190,30.7362,289
660,Marquette,49.6068,134,20.5665,114,38.1782,30,39.9274,90
518,Auburn,49.5932,135,23.4488,269,40.9159,5,35.4193,212
538,Cal Poly,49.5929,136,20.9764,140,29.9945,288,35.0746,219
668,Miami FL,49.5758,137,21.9932,203,36.8976,58,30.2424,293
597,Fresno St.,49.5635,138,21.5989,179,35.5753,92,32.9752,262
683,Morgan St.,49.5578,139,23.094,251,32.3111,228,43.5374,37
749,Southern Illinois,49.5493,140,17.6657,11,35.6026,90,30.4225,291
602,George Mason,49.5474,141,21.4746,169,33.0669,195,39.8296,94
690,Northern Illinois,49.5377,142,23.8493,287,35.1903,104,43.1721,45
680,Montana,49.5007,143,24.0803,293,30.752,274,39.8716,92
805,UAB,49.4992,144,18.2287,20,31.5938,251,32.9494,263
622,Illinois Chicago,49.4713,145,19.024,47,37.9201,33,38.9538,114
747,South Carolina St.,49.4587,146,23.7489,282,37.3681,45,43.4371,38
663,Massachusetts,49.4559,147,22.1862,209,35.017,111,32.4063,270
834,Western Illinois,49.4534,148,24.5149,304,26.6097,318,43.8047,33
852,Wyoming,49.4363,149,21.3456,164,34.5207,131,39.6552,97
851,Wright St.,49.4318,150,19.402,58,30.13,286,40.3409,82
666,Memphis,49.4289,151,18.6357,35,36.4005,70,38.321,137
658,Manhattan,49.42,152,18.225,19,35.3687,99,46.2877,11
761,Southeastern Louisiana,49.4014,153,18.6925,39,32.2599,230,44.2253,25
572,Denver,49.3836,154,19.7632,81,32.2079,234,36.4384,185
667,Mercer,49.3716,155,23.7492,283,37.0124,52,35.5476,206
699,Nevada,49.3306,156,18.221,18,36.9437,56,41.1946,62
537,Central Michigan,49.321,157,23.4412,268,27.7295,308,35.9877,192
717,Notre Dame,49.2869,158,15.3125,3,31.5626,252,34.6133,229
732,Portland,49.24,159,18.4159,25,25.7817,320,35.0222,221
535,Butler,49.2359,160,16.9823,8,30.6267,275,28.1063,312
769,South Carolina,49.23,161,19.3598,55,34.6403,128,35.4209,210
672,Middle Tennessee,49.2025,162,20.5367,112,31.8482,243,43.828,32
646,Lipscomb,49.189,163,21.8191,189,30.2624,282,40.5501,77
833,Western Carolina,49.1771,164,25.0967,310,31.761,248,45.6897,14
720,Ohio St.,49.1575,165,22.4225,224,37.8557,34,43.2275,42
565,Cal St. Northridge,49.1553,166,23.6431,278,33.4928,173,39.5062,99
808,UC Riverside,49.1505,167,20.9149,138,30.1504,285,38.1068,142
790,Tennessee,49.1206,168,21.7127,183,36.7647,61,43.2161,44
674,Mississippi,49.1192,169,19.8567,86,28.8398,302,33.3333,256
527,Boston College,49.1101,170,20.4145,107,38.9516,17,44.6607,22
593,Florida A&M,49.055,171,22.8223,243,32.2246,232,42.8571,48
802,Tulsa,49.0018,172,19.1032,48,26.9569,315,32.8494,265
627,Iona,48.9941,173,21.7381,186,34.3312,143,38.1657,141
581,Eastern Michigan,48.9568,174,23.5911,277,34.3171,146,47.8391,7
614,High Point,48.9448,175,23.4301,266,35.8283,85,38.4854,130
767,Southern Methodist,48.9117,176,22.2184,211,32.3992,223,33.7065,249
610,Hampton,48.8146,177,24.4313,302,34.7294,122,40.7295,72
780,St. Louis,48.7926,178,19.6418,75,26.6699,317,37.7709,152
751,Sam Houston St.,48.7805,179,23.4406,267,32.5766,214,38.5222,127
777,St. Francis PA,48.7584,180,20.7754,127,33.7669,164,38.5235,126
847,William & Mary,48.7539,181,21.9171,196,35.5691,93,39.5016,100
818,Southern California,48.7261,182,20.1287,94,33.4417,176,37.348,165
782,St. Peter's,48.7245,183,18.1075,16,33.7778,163,38.5488,125
519,Austin Peay,48.6808,184,21.0766,148,30.9438,266,38.0952,143
651,Louisville,48.6733,185,19.6028,71,32.4312,220,35.3184,215
797,Tennessee Martin,48.6381,186,21.8917,193,34.4507,136,33.2685,258
826,Valparaiso,48.5417,187,22.2599,214,33.7882,162,43.0357,46
768,South Alabama,48.5135,188,20.2967,100,33.3333,183,27.7703,316
590,Florida Atlantic,48.5114,189,20.6591,119,35.9545,81,28.3129,311
637,Kansas St.,48.4906,190,20.6291,116,36.3919,71,37.044,172
588,Fairleigh Dickinson,48.4876,191,17.6962,12,30.4578,279,27.8887,315
711,North Texas,48.3618,192,23.2259,260,37.7233,37,40.2048,85
733,Portland St.,48.3308,193,24.5097,303,34.8403,117,43.7785,34
