TeamId,TeamName,eFG_Pct,RankeFG_Pct,TO_Pct,RankTO_Pct,OR_Pct,RankOR_Pct,FT_Rate,RankFT_Rate
569,Dayton,48.8267,115,21.5591,145,32.4259,114,35.8604,153
570,Delaware,54.0676,307,20.0181,225,33.6713,177,38.9236,217
571,Delaware St.,52.8364,281,22.8114,68,38.4573,321,35.8179,151
572,Denver,53.5469,294,17.1792,331,35.1167,249,28.3181,24
573,DePaul,47.2377,61,17.6697,328,29.3783,24,31.4174,69
574,Detroit,51.6273,236,18.4436,307,31.0674,66,34.5246,118
575,Drake,56.0968,328,20.8201,188,32.2439,107,32.6721,86
576,Drexel,45.4713,20,22.0218,117,30.4623,51,36.2908,163
577,Duke,46.0541,33,22.0953,111,30.6975,57,29.5254,37
578,Duquesne,57.4181,332,22.5503,81,41.5409,334,36.3427,165
583,East Carolina,50.3843,183,19.1289,271,32.9869,148,44.2348,294
586,East Tennessee St.,46.7751,48,24.7901,17,34.5228,225,34.5416,119
579,Eastern Illinois,49.6702,147,18.2537,314,31.7904,85,43.2058,283
580,Eastern Kentucky,52.3913,269,24.1728,29,36.3493,295,28.0745,22
581,Eastern Michigan,51.4463,226,21.9071,126,33.4126,162,39.0201,222
582,Eastern Washington,54.8667,320,19.2107,270,36.8478,303,36.8878,178
585,Elon,51.1796,217,18.8978,280,35.1852,254,41.9397,260
587,Evansville,51.0606,214,19.4613,257,32.6942,132,37.3333,187
589,Fairfield,50.4762,186,23.9423,35,38.8522,324,42.0952,263
588,Fairleigh Dickinson,52.2397,259,19.7042,247,33.9017,190,33.2752,99
592,Florida,45.2019,18,18.7621,290,28.1303,8,27.7464,13
593,Florida A&M,50.4929,188,21.2748,160,34.1008,195,32.9135,90
590,Florida Atlantic,54.82,318,19.6847,248,30.6965,56,39.2567,227
594,Florida International,52.7036,277,21.0352,174,32.7548,134,35.0467,131
595,Florida St.,50.7497,200,23.49,45,36.2357,291,33.2472,98
596,Fordham,48.6271,106,23.655,43,36.1691,287,37.6756,191
597,Fresno St.,43.6346,4,18.744,291,33.2113,156,24.8299,4
598,Furman,52.3825,268,20.4324,201,32.8437,137,35.2605,137
601,Gardner Webb,52.5015,271,21.175,168,37.8811,314,36.0099,155
602,George Mason,47.4971,71,19.6622,250,29.9629,39,28.033,20
599,George Washington,47.6162,75,24.6839,21,34.4828,221,38.4386,206
603,Georgetown,44.0568,10,19.2612,267,33.9489,191,32.093,78
604,Georgia,50.5837,195,21.9859,120,30.8111,59,31.2952,67
600,Georgia Southern,47.6913,78,21.169,169,30.9852,64,42.821,275
605,Georgia St.,50.7756,201,17.7564,326,36.0971,285,31.5236,72
606,Georgia Tech,49.7062,149,23.7933,38,32.6626,130,44.2421,295
607,Gonzaga,46.665,40,18.7306,292,30.0347,41,36.4858,170
608,Grambling,48.2025,95,20.7154,189,34.2075,203,42.3331,267
610,Hampton,47.8763,84,26.3557,2,35.319,257,55.3404,334
611,Hartford,53.2173,290,25.3902,13,35.8481,275,39.9212,238
612,Harvard,55.4079,326,20.9201,176,34.1598,199,27.855,14
613,Hawaii,44.174,11,20.8673,180,33.4308,163,36.2691,161
614,High Point,48.3108,98,22.2663,101,35.5276,266,35.3194,143
615,Hofstra,49.4668,142,18.7281,293,32.9767,147,40.5213,249
616,Holy Cross,47.7918,82,26.0877,4,30.1288,44,38.9905,221
617,Houston,49.1781,127,23.8668,37,35.817,273,42.9041,277
619,Howard,53.952,305,21.7475,133,37.8795,313,35.4801,145
620,Idaho,51.5851,232,18.5418,300,36.2285,290,36.0957,159
621,Idaho St.,50.2169,171,18.7829,288,32.2342,106,31.2268,66
623,Illinois,45.7126,26,22.6991,74,29.4517,28,34.7045,122
622,Illinois Chicago,50.2814,177,18.5386,301,33.3484,159,33.0332,92
624,Illinois St.,49.9678,160,23.4609,46,31.7174,82,36.8726,177
625,Indiana,46.2025,37,21.7668,131,31.7143,81,46.2025,309
626,Indiana St.,51.0835,215,18.8067,285,33.4683,165,36.4563,169
627,Iona,49.4455,139,20.0463,224,35.9551,279,43.9926,290
628,Iowa,50.1496,168,22.517,84,35.2166,255,33.0341,93
629,Iowa St.,47.2436,62,18.656,296,31.8834,91,30.6461,52
630,IUPU Fort Wayne,50.7885,203,20.1195,218,32.6397,129,44.8029,298
631,IUPUI,53.6552,298,20.4329,200,31.2536,72,35.3103,140
632,Jackson St.,50.2059,170,24.0156,31,38.0875,318,42.666,273
